S.No,Product Code,Brand Name,Product Name,Price,Original Price (Was Price),Discount Percentage,Offer Price,URL,Category
1,462435385_black,Aditi Wasan,Woven Pattern Stole with Fringes,₹700,"₹1,399",(50% off),₹700,https://www.ajio.com/aditi-wasan-woven-pattern-stole-with-fringes-/p/462435385_black,Scarves and Stoles
2,441317626_assorted,Teamspirit,Pack of 2 Graphic Print Scarves,₹120,₹299,(60% off),₹102,https://www.ajio.com/teamspirit-pack-of-2-graphic-print-scarves/p/441317626_assorted,Scarves and Stoles
3,465431921_black,Heelium,Pack of 3 Bamboo Bandanas,₹555,"₹1,499",(63% off),₹555,https://www.ajio.com/heelium-pack-of-3-bamboo-bandanas/p/465431921_black,Scarves and Stoles
4,465431855_black,Heelium,Pack of 4 Bamboo Bandanas,₹720,"₹1,999",(64% off),₹720,https://www.ajio.com/heelium-pack-of-4-bamboo-bandanas/p/465431855_black,Scarves and Stoles
5,466492360_black,Heelium,Pack of 3 Unisex Elasticated Bandanas,₹699,"₹1,499",(53% off),₹699,https://www.ajio.com/heelium-pack-of-3-unisex-elasticated-bandanas/p/466492360_black,Scarves and Stoles
6,466488050_grey,Heelium,Unisex Heathered Elasticated Bandana,₹299,₹499,(40% off),₹299,https://www.ajio.com/heelium-unisex-heathered-elasticated-bandana-/p/466488050_grey,Scarves and Stoles
7,466488050_black,Heelium,Unisex Bandana with Logo Print,₹299,₹499,(40% off),₹299,https://www.ajio.com/heelium-unisex-bandana-with-logo-print/p/466488050_black,Scarves and Stoles
8,465431920_black,Heelium,Pack of 2 Bamboo Bandanas,₹555,"₹1,499",(63% off),₹555,https://www.ajio.com/heelium-pack-of-2-bamboo-bandanas/p/465431920_black,Scarves and Stoles
9,465462400_grey,Heelium,Pack of 3 Bamboo Bandanas - Odour Free & Breathable,₹555,"₹1,499",(63% off),₹555,https://www.ajio.com/heelium-pack-of-3-bamboo-bandanas--odour-free--breathable/p/465462400_grey,Scarves and Stoles
10,465431856_grey,Heelium,Pack of 4 Bamboo Bandanas,₹720,"₹1,999",(64% off),₹720,https://www.ajio.com/heelium-pack-of-4-bamboo-bandanas/p/465431856_grey,Scarves and Stoles
11,466482401_black,Beau Design,Logo Print Panelled Hijab Scarf,₹659,"₹1,099",(40% off),₹626,https://www.ajio.com/beau-design-logo-print-panelled-hijab-scarf/p/466482401_black,Scarves and Stoles
12,469484120_khaki,Marks & Spencer,Men Striped Knitted Scarf,"₹1,999","₹1,999",(0% off),"₹1,299",https://www.ajio.com/marks--spencer-men-striped-knitted-scarf/p/469484120_khaki,Scarves and Stoles
13,466482326_navy,Beau Design,Logo Print Panelled Hijab Scarf,₹659,"₹1,099",(40% off),₹626,https://www.ajio.com/beau-design-logo-print-panelled-hijab-scarf/p/466482326_navy,Scarves and Stoles
14,465406425_black,Heelium,Heelium Bamboo Bandanda,₹240,₹499,(52% off),₹240,https://www.ajio.com/heelium--heelium-bamboo-bandanda/p/465406425_black,Scarves and Stoles
15,465204957_blue,Gant,Knitted Woolen Scarf,"₹7,199","₹7,999",(10% off),"₹7,199",https://www.ajio.com/gant-knitted-woolen-scarf/p/465204957_blue,Scarves and Stoles
16,465406425_grey,Heelium,Heelium Bamboo Bandanda,₹240,₹499,(52% off),₹240,https://www.ajio.com/heelium-heelium-bamboo-bandanda/p/465406425_grey,Scarves and Stoles
17,465431865_black,Heelium,Pack of 4 Bamboo Bandanas - Odour Free & Breathable,₹720,"₹1,999",(64% off),₹720,https://www.ajio.com/heelium-pack-of-4-bamboo-bandanas--odour-free--breathable/p/465431865_black,Scarves and Stoles
18,465431851_black,Heelium,Pack of 4 Bamboo Bandanas,₹720,"₹1,999",(64% off),₹720,https://www.ajio.com/heelium-pack-of-4-bamboo-bandanas/p/465431851_black,Scarves and Stoles
19,465431911_grey,Heelium,Pack of 3 Bamboo Bandanas - Odour Free & Breathable,₹555,"₹1,499",(63% off),₹555,https://www.ajio.com/heelium-pack-of-3-bamboo-bandanas--odour-free--breathable/p/465431911_grey,Scarves and Stoles
20,465003415_multi,THE TIE HUB,Floral Print Scarf,"₹1,500","₹3,750",(60% off),"₹1,500",https://www.ajio.com/the-tie-hub-floral-print-scarf/p/465003415_multi,Scarves and Stoles
21,410354139_5ed,SUPERDRY,Vintage Logo Embroidered Scarf,"₹2,009","₹2,999",(33% off),"₹1,320",https://www.ajio.com/superdry-vintage-logo-embroidered-scarf/p/410354139_5ed,Scarves and Stoles
22,464879586_multi,THE TIE HUB,Graphic Print Bandana Scarves,"₹1,500","₹3,750",(60% off),"₹1,500",https://www.ajio.com/the-tie-hub-graphic-print-bandana-scarves/p/464879586_multi,Scarves and Stoles
23,465406425_white,Heelium,Heathered Heelium Bandanda,₹240,₹499,(52% off),₹240,https://www.ajio.com/heelium-heathered-heelium-bandanda/p/465406425_white,Scarves and Stoles
24,466488148_grey,Heelium,Pack of 2 Unisex Heathered Bandanas,₹499,₹999,(50% off),₹499,https://www.ajio.com/heelium-pack-of-2-unisex-heathered-bandanas/p/466488148_grey,Scarves and Stoles
25,464882081_multi,THE TIE HUB,Graphic Print Bandana Scarves,"₹1,500","₹3,750",(60% off),"₹1,500",https://www.ajio.com/the-tie-hub-graphic-print-bandana-scarves/p/464882081_multi,Scarves and Stoles
